QUERY_ID,QUERY_TEXT,RESULT,SKIP_PERCENTAGE
1,$..freeShipping,230089,0
2,$.products[*].videoChapters,769,0.09227438889806847
3,$.products[*].additionalFeatures[*],61098,0.10084738573733328
4,$.products[*].screenFormat,230087,0.10811286126863222
5,$.products[*].dollarSavings,230089,0.16607046908825795
6,$.products[*].shippingLevelsOfService[*],540862,0.2987543342404533
7,$.products[*].shippingLevelsOfService[*].serviceLevelName,540862,0.32709019674875717
8,$.products[*].shipping[*],218377,0.49521032640690094
9,$.products[*].freeShipping,230089,0.5133209155080664
10,$.products[*].homeDelivery,230089,0.6008050483041762
11,$.products[*].includedItemList[*],9096,0.766663658393715
12,$.products[*].frequentlyPurchasedWith[*],16061,0.776560760572963
13,$.products[*].quantityLimit,230089,0.8041275524771199
14,$.products[*].categoryPath[2],229663,0.8408007958459087
15,$.products[1:100000].categoryPath[*],303179,0.9226502835882399
16,$.products[1:20000].shippingLevelsOfService[*],46966,0.9382846739559346
17,$.products[1:10000].lengthInMinutes,9999,0.9614244684095705
18,$.products[20000].quantityLimit,1,0.9999224023530754
19,$.products[10000].screenFormat,1,0.999956315186038
20,$.products[2].shipping[*],1,0.9999975110549962
