QUERY_ID,QUERY_TEXT,RESULT,SKIP_PERCENTAGE
1,$..URL,363533,0
2,$.items[1:90000]..year,844298,0.040146655115102375
3,$.items[1:80000]..issue,233736,0.1402828261095453
4,$.items[*].reference[*],1322134,0.292976606236797
5,$.items[*].reference[*].issue,151435,0.3748309056450284
6,$.items[*].reference[*].year,867469,0.43342120367810455
7,$.items[*].reference[*].DOI,966313,0.5259856920024245
8,$.items[*].reference[*].author,851921,0.5922821736547883
9,$.items[*].reference[*].key,1322134,0.7796176136162465
10,$.items[*].assertion[*]..name,77224,0.838454355039594
11,$.items[*].institution[*].name,3613,0.8514213029871271
12,$.items[*].author[*].sequence,264054,0.8805344899080475
13,$.items[*].author[*].given,260154,0.900952597168898
14,$.items[*].resource.primary.URL,96875,0.9379374409685132
15,$.items[*].score,96875,0.9480371442337638
16,$.items[*].member,96855,0.9508857394110756
17,$.items[*].URL,96875,0.9636695618259663
18,$.items[3].reference[*],13,0.9999923654554015
19,$.items[2].resource.primary.URL,1,0.9999996857539339
20,$.items[0].URL,1,0.999999963670975
