QUERY_ID,QUERY_TEXT,RESULT,SKIP_PERCENTAGE
1,$..URL,724602,0
2,$.items[1:90000]..year,844298,0.5083535025983329
3,$.items[1:80000]..issue,233736,0.559616058671642
4,$.items[*].reference[*],2597497,0.2952752341055849
5,$.items[*].reference[*].issue,271505,0.3700996697080169
6,$.items[*].reference[*].year,1759947,0.44553180718627616
7,$.items[*].reference[*].DOI,1825839,0.5253490740801054
8,$.items[*].reference[*].author,1722766,0.5951018095082657
9,$.items[*].reference[*].key,2597497,0.7867104430579336
10,$.items[*].assertion[*]..name,186656,0.8407378921165649
11,$.items[*].institution[*].name,6222,0.8558292824516661
12,$.items[*].author[*].sequence,511001,0.8869739529086421
13,$.items[*].author[*].given,502009,0.907021903125067
14,$.items[*].resource.primary.URL,193750,0.9438330352398285
15,$.items[*].score,193750,0.9542198034896907
16,$.items[*].member,193723,0.9571269905762355
17,$.items[*].URL,193750,0.9701904440121898
18,$.items[3].reference[*],13,0.9999960916593206
19,$.items[2].resource.primary.URL,1,0.9999998391284945
20,$.items[0].URL,1,0.9999999814021381
