QUERY_ID,QUERY_TEXT,RESULT,SKIP_PERCENTAGE
1,$[*]..bounds,4348,0
2,$[*].routes[*].legs[*]..lat,3442200,0.006787668646995309
3,$[*].routes[*].legs[*].steps[*].polyline.points,1716752,0.28017388133842325
4,$[1:3000].routes[*].legs[*].steps[*].polyline.points,1119140,0.5369940123619779
5,$[*].routes[*].legs[*].steps[*].end_location,1716752,0.6274362875191887
6,$[*].routes[*].legs[*].steps[*].duration,1716752,0.6649267054648379
7,$[*].routes[*].legs[*].steps[*],1716752,0.6861376387689688
8,$[1:2000].routes[*].legs[*].steps[*].polyline.points,728598,0.699618524934502
9,$[*].routes[*].legs[*].steps[*].start_location,1716752,0.7014742722363319
10,$[*].routes[*].legs[*].steps[*].start_location.lat,1716752,0.7511109039053886
11,$[*].routes[*].legs[*].steps[*].maneuver,1391755,0.7906898463853002
12,$[*].routes[*].legs[*].steps[*].distance,1716752,0.8183411454908007
13,$[*].routes[*].legs[*].steps[*].distance.text,1716752,0.8541294828559755
14,$[1:400].routes[*].legs[*].steps[*].polyline.points,144049,0.9398240913199455
15,$[*].routes[*].legs[*].steps[*].html_instructions,1716752,0.9639471426124017
16,$[1:500].routes[*].legs[*].steps[*].maneuver,164881,0.9751000812881957
17,$[1:300].routes[*].legs[*].steps[*].start_location.lat,101059,0.985315480967129
18,$[10].routes[*].legs[*].steps[*].distance,333,0.9999658665101692
19,$[4000].routes[*].bounds,1,0.9999858292059212
20,$[0].routes[0].legs[0],1,0.9999996619923643
