Query,JsonPath,Result,SkipPercentage
1,$[0].c_custkey,0,1
1,$[10000].c_name,0,1
1,$[20000].c_orders[*],0,1
1,$[*].c_custkey,0,1
2,$[*].c_name,0,1
3,$[*].c_orders[*].o_orderkey,0,1
4,$[*].c_orders[*].o_orderstatus,0,1
5,$[*].c_orders[*].o_totalprice,0,1
6,$[*].c_orders[*].o_orderdate,0,1
7,$[*].c_orders[*].o_orderpriority,0,1
8,$[*].c_orders[*].o_clerk,0,1
9,$[*].c_orders[*].o_shippriority,0,1
10,$[*].c_orders[*].o_comment,0,1
11,$[*].c_orders[*].o_lineitems[*].l_partkey,0,1
12,$[*].c_orders[*].o_lineitems[*].l_suppkey,0,1
13,$[*].c_orders[*].o_lineitems[*].l_linenumber,0,1
14,$[0].c_custkey,0,1
15,$[0].c_name,0,1
16,$[0].c_address,0,1
17,$[0].c_nationkey,0,1
18,$..l_receiptdate,0,1
19,$..l_shipinstruct,0,1
20,$..l_shipmode,0,1
21,$..l_comment,0,1
