QUERY_ID,QUERY_TEXT,RESULT,SKIP_PERCENTAGE
1,$..id,47,0
2,$.data[*],1754882,0.1496189081542637
3,$.data[0:1400000][*],61600000,0.20110727284301586
4,$.data[0:1300000][*],57200000,0.2577515491654949
5,$.data[0:1200000][*],52800000,0.3143911982268739
6,$.data[0:1100000][*],48400000,0.37103466973644017
7,$.data[0:1000000][*],44000000,0.4276866471434643
8,$.data[0:900000][*],39600000,0.4843323141231633
9,$.data[0:800000][*],35200000,0.5409939815107091
10,$.data[0:700000][*],30800000,0.5976405789004078
11,$.data[0:600000][*],26400000,0.6542981776033719
12,$.data[0:500000][*],22000000,0.710948418961187
13,$.data[0:400000][*],17600000,0.7676037494799155
14,$.data[0:300000][*],13200000,0.8242526216642229
15,$.data[0:200000][*],8800000,0.8809006650730153
16,$.data[0:100000][*],4400000,0.9375517938734057
17,$.data[0:50000][*],2200000,0.9658757515398134
18,$.meta.view.columns[*],44,0.9999876328184134
19,$.meta.view.locale,1,0.999999061327034
20,$.meta.view.id,1,0.9999999619903552
