QUERY_ID,QUERY_TEXT,RESULT,SKIP_PERCENTAGE
1,$[1:150000]..user,289792,0.0356376569060806
2,$[1:140000]..user,269955,0.10107622448819877
3,$[1:130000]..user,250344,0.16506642099189514
4,$[1:120000]..user,230892,0.2286089336816172
5,$[1:110000]..user,211235,0.2923627371720725
6,$[1:100000]..user,191597,0.3566390896416801
7,$[1:90000]..user,172898,0.41797181369254177
8,$[1:80000]..user,153853,0.48121478264879863
9,$[1:70000]..user,134786,0.5451941239171598
10,$[1:60000]..user,115803,0.6093803792389146
11,$[1:50000]..user,96274,0.6755963950493306
12,$[1:40000]..user,76713,0.7415029304382457
13,$[1:30000]..user,57156,0.8073332204675262
14,$[1:20000]..user,38018,0.8722864568506763
15,$[1:10000]..user,19064,0.9362565473745926
16,$[1:5000]..user,9504,0.9675872617887467
17,$[1:2500]..user,4816,0.9828939031336357
18,$[1:1000]..user,1903,0.9925655356825975
19,$[1:500]..user,961,0.9956874394164503
20,$[1:100]..user,193,0.9982584533080221
