QUERY_ID,QUERY_TEXT,RESULT,SKIP_PERCENTAGE
1,$..category,1,0
2,$.items[*].availableOnline,272414,0.02024525678335311
3,$.items[*].isbn,75,0.020298412942002454
4,$.items[*].freeShipToStore,53925,0.08022007495614139
5,$.items[*].addToCartUrl,272395,0.18812714935064836
6,$.items[*].productUrl,272499,0.30095769727725685
7,$.items[*].productTrackingUrl,272499,0.4330019827621919
8,$.items[*].largeImage,272499,0.4779786092781811
9,$.items[*].mediumImage,272453,0.5206890507794266
10,$.items[*].thumbnailImage,272449,0.5637395202990886
11,$.items[*].msrp,184805,0.680869691057288
12,$.items[*].longDescription,271972,0.8786084311426394
13,$.items[*].salePrice,265778,0.938616875666899
14,$.items[*].categoryPath,272467,0.9488023236490034
15,$.items[*].upc,272040,0.9555435993631947
16,$.items[*].name,272499,0.9854904352977815
17,$.items[*].itemId,272499,0.9964380470908549
18,$.category,1,0.9999999778972294
19,$.items[0].isbn,1,0.9999969608690409
20,$.items[1000].salePrice,1,0.9999956547962321
