QUERY_ID,QUERY_TEXT,RESULT,SKIP_PERCENTAGE
1,$.items[1:190000]..upc,189680,0.289327743819935
2,$.items[1:180000]..upc,179691,0.3266412161903249
3,$.items[1:170000]..upc,169698,0.36427188743110367
4,$.items[1:160000]..upc,159712,0.40350672953864064
5,$.items[1:150000]..upc,149740,0.4425646319347326
6,$.items[1:140000]..upc,139771,0.4773464268378214
7,$.items[1:130000]..upc,129791,0.5136983804623829
8,$.items[1:120000]..upc,119794,0.5524127364808457
9,$.items[1:110000]..upc,109804,0.5955190014309022
10,$.items[1:100000]..upc,99808,0.6365756101538396
11,$.items[1:90000]..upc,89812,0.6715359592752995
12,$.items[1:80000]..upc,79825,0.7098395433393181
13,$.items[1:70000]..upc,69865,0.7501971127594815
14,$.items[1:60000]..upc,59880,0.786816310983507
15,$.items[1:50000]..upc,49899,0.8211175946675153
16,$.items[1:40000]..upc,39911,0.8556973622098436
17,$.items[1:30000]..upc,29921,0.8914716629384869
18,$.items[1:20000]..upc,19947,0.9267700829784927
19,$.items[1:10000]..upc,9971,0.9610659665537721
20,$.items[1:1000]..upc,999,0.9944379754155885
