QUERY_ID,QUERY_TEXT,RESULT,SKIP_PERCENTAGE
1,$..language,4247969,0
2,$[*].claims..value,2544342,0.3904949156626869
3,$[*].claims.*[*].references[*]..value,1142314,0.5865104658001585
4,$[*].claims.*[*].references[*].snaks..value,1142314,0.6081443747418052
5,$[*].claims.*[*].references[0]..value,1036983,0.6107372448000142
6,$[*].claims.*[*].references[*].snaks.*[*].datavalue.value,1142314,0.6366649289928099
7,$[*].claims.*[*].references[*].snaks.*[*].datavalue,1142314,0.6672369726792965
8,$[*].claims.*[*].references[*].snaks,928576,0.7853295852256779
9,$[*].claims.*[*].references,850158,0.8445288530832522
10,$[*].sitelinks.*.badges[*],9322,0.851630492481424
11,$[*].labels.*.value,2407353,0.8617226458236675
12,$[*].claims.*.*.type,1328677,0.8909161771782377
13,$[*].descriptions..language,1058967,0.9186586112643569
14,$[*].sitelinks.*.title,1947690,0.9257477409758359
15,$[*].aliases..ckb,178,0.9469137350413508
16,$[*].labels.*.language,2407353,0.9516350680531096
17,$[*].claims.*[*].id,1328677,0.9728838427955863
18,$[1000].claims,1,0.9999962374487581
19,$[500].labels,1,0.999998017267435
20,$[0].id,1,0.9999999909007226
