QUERY_ID,QUERY_TEXT,RESULT,SKIP_PERCENTAGE
1,$[1:140000]..fr,203159,0.00002099385302403864
2,$[1:130000]..fr,193995,0.039849323062208425
3,$[1:120000]..fr,180554,0.09758846443827879
4,$[1:110000]..fr,166676,0.1612520998914497
5,$[1:100000]..fr,153194,0.22641781131520725
6,$[1:90000]..fr,137086,0.2797728771202494
7,$[1:80000]..fr,123375,0.33858855219626055
8,$[1:70000]..fr,108554,0.40837216059491366
9,$[1:60000]..fr,94218,0.47260076563777603
10,$[1:50000]..fr,78916,0.5410249437993363
11,$[1:40000]..fr,63211,0.624343480873371
12,$[1:30000]..fr,47619,0.7028220458259542
13,$[1:20000]..fr,35164,0.7816847304082671
14,$[1:15000]..fr,27159,0.8288773942468207
15,$[1:10000]..fr,19003,0.8822042977880326
16,$[1:5000]..fr,10474,0.9313378639030256
17,$[1:2500]..fr,5320,0.9619103780221584
18,$[1:1000]..fr,2184,0.9815914173176111
19,$[1:500]..fr,1107,0.9899730930269958
20,$[1:200]..fr,452,0.99475505361474
